Group,Node 1,Node 2,Partial Correlation,Absolute Weight
여성_청년층(19-39세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.1946,0.1946
여성_중년층(40-59세)_MetS(-),Grain Products,Protein Foods,0.1348,0.1348
여성_중년층(40-59세)_MetS(-),Protein Foods,Vegetables,0.3881,0.3881
여성_중년층(40-59세)_MetS(-),Fried Foods,High Fat Meat,0.1792,0.1792
여성_중년층(40-59세)_MetS(-),Fried Foods,Processed Foods,0.1397,0.1397
여성_중년층(40-59세)_MetS(-),Processed Foods,Sugar-Sweetened Beverages,0.1249,0.1249
여성_중년층(40-59세)_MetS(-),Processed Foods,Sweet Food Consumption,0.1239,0.1239
여성_중년층(40-59세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.1742,0.1742
여성_장년층(60-74세)_MetS(-),Protein Foods,Vegetables,0.3064,0.3064
여성_장년층(60-74세)_MetS(-),Processed Foods,Sweet Food Consumption,0.1251,0.1251
여성_장년층(60-74세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.2041,0.2041
